id,title,dis,com,htype,rty,fit,flo,sumflo,pri,lab
1,绿城玉兰花园二期 ,滨湖区,太湖新城,2室2厅,整租,豪华装修,10,18层,3500,玉兰花园豪装两房，自住装修，近海岸城金匮公园 靠市政府 融科
2,中城誉品(南区) ,滨湖区,河埒口,2室2厅,整租,精装修,11,34层,2680,免押金 可月付 地铁口 高端小区 出行方便 精装房 拎包入住
3,荣巷新村 ,滨湖区,河埒口,2室2厅,整租,精装修,3,6层,1400,新体旁荣巷村整租简装两房设施齐全拎包即住出行便利
4,春丰公寓 ,新吴区,旺庄,1室1厅,合租,豪华装修,5,7层,1000,春丰公寓，酒店式精装公寓。没有你找不到只有你想不到。
5,香缤公寓 ,梁溪区,广益,1室1厅,整租,精装修,10,26层,1450,广益路 香缤公寓 环境优美 交通便利 方便停车 看房随时
6,天鹅湖花园B区 ,滨湖区,太湖新城,2室2厅,整租,精装修,14,18层,3200,芝麻信用租房 免押金 可短租 地暖两房 出门地铁口 拎包入住
7,丰裕园二期 ,滨湖区,太湖新城,3室2厅,整租,精装修,9,18层,2000,江大地铁口 丰裕苑大三房 自住装修抢手房 好房不等人
8,锡沪家艺中心 ,梁溪区,广益,2室2厅,整租,精装修,15,33层,2000,写字楼 锡沪家艺中心 办公房 Loft公寓 方便看房 急租！
9,协信阿卡迪亚 ,滨湖区,太湖新城,2室2厅,整租,精装修,16,25层,2200,大桥小学旁协信阿卡迪亚 精装两房家具家电齐全 近外国语幼儿园
10,香缤公寓 ,梁溪区,广益,1室1厅,整租,精装修,21,34层,1400,好房分享 香缤公寓 温馨小屋  班车必经 配套齐全 拎包入住
11,南湖家园北区 ,滨湖区,太湖新城,2室2厅,整租,精装修,12,27层,1600,《U房置业实拍》地铁口 南湖家园 精装两房 急租家具家电齐全
12,丰裕园一期 ,滨湖区,太湖新城,1室2厅,整租,精装修,15,28层,1400,仅茨一套！熙园旁 丰裕苑精装两房 前排无遮挡 紧靠地 铁口！
13,绿城玉兰花园一期 ,滨湖区,太湖新城,2室1厅,整租,豪华装修,2,27层,3700,玉兰花园 自住婚装两房  全新家具家电 温馨出租 随时看房
14,华宇大厦 ,梁溪区,崇安寺,4室2厅,整租,豪华装修,9,32层,12000,市中心崇安寺胜利门T12旁 华宇大厦 精装办公房急租
15,太湖国际社区星辉塞纳 ,滨湖区,太湖新城,2室2厅,整租,精装修,19,31层,2500,太湖国际 万象城大剧院 包物业 家电齐全 拎包入住 随时看房
16,仙河苑二期 ,滨湖区,太湖新城,3室2厅,整租,精装修,15,18层,2000,仙河苑，精装修，诚租，近江大南门，家具家电齐全，采光好视野好
17,瑞城花园北区 ,新吴区,江溪,1室1厅,整租,精装修,12,34层,999,新区 瑞成国际 精装修一室一厅 好房不等人 速抢
18,金科观天下 ,梁溪区,上马墩,1室1厅,整租,精装修,12,28层,1600,好房分享！靖海地铁口 精品一室一厅公寓房 民用水电 配套齐全
19,周新苑(三期) ,滨湖区,太湖新城,2室2厅,整租,精装修,12,32层,1600,周新苑精装两房 近华润万家 出行购物方便 温馨舒适 价格可刀
20,蠡湖公馆 ,滨湖区,太湖新城,5室3厅,整租,豪华装修,4,6层,12000,蠡湖公馆 花园洋房 上下两层  诚心出租 看房方便 拎包住!
21,风雷新村 ,梁溪区,上马墩,2室1厅,整租,精装修,3,6层,1200,风雷新村新出精装两室 近上马墩站 家具家电齐全 拎包即住
22,蠡湖人家 ,滨湖区,蠡湖新城,3室2厅,整租,精装修,11,32层,2300,免押金可月付 蠡湖人家精装三房家具电齐全拎包入住保养好诚心租
23,世贸首府 ,梁溪区,北大街,1室1厅,整租,精装修,9,45层,1000,无锡站酒吧街附近 世贸一室单间 干净整洁 包网络
24,春晖新村 ,梁溪区,上马墩,2室1厅,整租,精装修,2,6层,2100,地铁口精装大两房可押一付一 人好可不要押金 我爱安源实图
25,华宇大厦 ,梁溪区,崇安寺,4室2厅,整租,豪华装修,9,32层,12000,市中心崇安寺胜利门T12旁 华宇大厦 精装办公房急租
26,广晟苑 ,梁溪区,广丰,2室1厅,整租,精装修,10,20层,1500,劲爆压零付一 车站附近 温馨出租精装两室 随时看房拎包入住
27,荣巷新村 ,滨湖区,河埒口,2室1厅,整租,中等装修,4,6层,1500,新体旁荣巷村整租简装两房设施齐全拎包即住出行便利
28,观山名筑(二期) ,滨湖区,太湖新城,2室1厅,整租,精装修,15,33层,2300,观山名筑精装2房 紧邻外国语 设施齐全 拎包入住 自住首租
29,哥伦布广场(梁溪区) ,梁溪区,广益,1室1厅,整租,精装修,10,26层,1650,广益哥伦布 精装一房 采光很好 拎包入住 环境优美 家电齐全
30,万达广场C区 ,滨湖区,河埒口,3室1厅,整租,精装修,16,30层,2800,万达广场C区 精装三房！
31,广益星苑 ,梁溪区,广益,2室1厅,整租,精装修,6,11层,1600,广益星苑精装两室 抢手房源 家电家具齐全 看房随时 拎包即住
32,槐古新村 ,梁溪区,南禅寺,2室1厅,整租,中等装修,5,6层,2000,南禅寺旁好房出租两房精装2000，超低急租！
33,魅力万科城酩悦 ,滨湖区,太湖新城,2室1厅,整租,精装修,13,32层,2800,万科精装两房 自住装修 南北通透 近万象城 博大 拎包入住
34,融创星光广场 ,滨湖区,太湖新城,1室1厅,整租,精装修,17,29层,1700,星光广场单身公寓，临江南大学地铁，靠融创熙园 科技园 华莱坞
35,尚锦城C区 ,滨湖区,太湖新城,2室2厅,整租,精装修,15,31层,2300,尚锦城精装两房 外国语陪读守选 近地铁口 品牌家电 随时看房
36,丰裕园一期 ,滨湖区,太湖新城,2室2厅,整租,精装修,12,32层,1500,丰裕苑精装两房 近江大天鹅湖 临近地铁 交通便利 随时看诚租
37,西园里 ,滨湖区,河埒口,4室2厅,整租,精装修,4,7层,3000,西园里精装4房2厅 临近新体育中心 南北通透 拎包入住
38,融科玖玖城 ,滨湖区,太湖新城,2室2厅,整租,精装修,12,27层,2500,一号线地铁口旁 融科玖城精装两房 不靠马路 交通便利 诚心租
39,融科玖玖城 ,滨湖区,太湖新城,3室2厅,整租,豪华装修,23,34层,5500,玖玖城豪装三房 南北通透 近金桥海岸城 家电齐全 拎包入住
40,奕淳公寓(一期) ,新吴区,长江路,3室2厅,整租,精装修,30,34层,2400,新区 长江路 长江绿岛精装修三房 设施齐全 拎包入住 急租
41,东风家园 ,梁溪区,江海,2室1厅,整租,精装修,10,26层,1900,东风家园 长江北路 精装两房 采光很好 看房随时 家电齐全
42,太湖锦园 ,滨湖区,梅园,3室2厅,整租,豪华装修,2,9层,4600,太湖锦园 豪装三房 太湖边上的高档小区 依山傍水享受生活之美
43,融科玖玖城 ,滨湖区,太湖新城,2室2厅,整租,精装修,13,32层,2400,急租 融科玖玖 精装两房 南北通透户型全天采光近海岸城D铁！
44,住友家园 ,滨湖区,河埒口,2室1厅,整租,精装修,2,6层,1600,住友家园 孙蒋荷叶新村旁 家具家电齐全 拎包入住 随时看房
45,天鹅湖花园B区 ,滨湖区,太湖新城,2室2厅,整租,精装修,14,18层,3200,押0月付 凭芝麻信用租房 天鹅湖精装地暖两房 近江南大学
46,五洲国际银河城 ,梁溪区,广益,1室1厅,整租,毛坯,23,31层,1500,广益哥伦布广场附近五洲银河城精装1房拎包入住看房方便急租 ！
47,长泰国际社区 ,锡山区,东亭,2室2厅,整租,精装修,13,26层,2100,长泰国际室2室1厅1卫 装修温馨图片真实！可押一付一
48,融创星光广场 ,滨湖区,太湖新城,1室1厅,整租,精装修,13,32层,1550,都市爱侣好房  星光广场精装公寓 江大东门 地铁旁 拎包入住
49,魅力万科城一区 ,滨湖区,太湖新城,2室1厅,整租,精装修,11,17层,2200,万科城市花园 自住精装大两房 .临近万象城 华润  拎包入住
50,西园里 ,滨湖区,河埒口,2室2厅,整租,精装修,3,7层,1700,近新体家乐福旁《西园里》精装好房出租 南北通透 拎包入住诚租
51,海岸城馨园 ,滨湖区,太湖新城,2室2厅,整租,精装修,16,32层,3500,海岸城美式风格两房 市民中心地铁口 金融街旁 抢手房源价格低
52,南湖家园北区 ,滨湖区,太湖新城,2室2厅,整租,精装修,7,18层,1550,南湖家园精装两房，南北通透，采光无遮挡，交通便利，拎包入住！
53,魅力万科城一区 ,滨湖区,太湖新城,2室2厅,整租,精装修,4,8层,2600,常春藤幼儿园旁 魅力万科精装大两房 干净舒适整洁 诚心出租急
54,万科信成道二期 ,滨湖区,太湖新城,3室2厅,整租,精装修,22,34层,3200,万科信成道精装自住三房 配置齐全 金桥陪读 临近海岸城八方汇
55,绿城玉兰花园一期 ,滨湖区,太湖新城,2室2厅,整租,豪华装修,4,14层,3800,玉兰花园 豪装两房 品牌家私 游泳池 金匮公园旁 近海岸城
56,湖滨南苑 ,滨湖区,河埒口,2室1厅,整租,精装修,6,12层,1700,近新体家乐福瑜憬湾旁《湖滨北苑》新出2房 拎包入住 房东诚租
57,太湖国际社区万象九里 ,滨湖区,太湖新城,2室2厅,整租,精装修,1,32层,2200,太湖国际自住精装修 紧靠万象城 周边配套齐全 随时看房
58,融科玖玖城 ,滨湖区,太湖新城,3室2厅,整租,精装修,14,32层,3200,融科玖玖派 自住豪装三房 品牌家居 南北通透 近金桥海岸城
59,太湖国际社区聆湖 ,滨湖区,太湖新城,2室2厅,整租,精装修,15,32层,3000,太湖国际 新出免押金按月支付 婚房装修 随时看房 拎包入住安
60,金科观天下 ,梁溪区,上马墩,1室1厅,整租,毛坯,13,37层,1600,上马墩路 地铁旁 配套齐全 精装单身公寓 家电齐全 拎包入住
61,甲壳虫2933小区 ,梁溪区,广益,1室1厅,整租,精装修,12,28层,1300,好房分享！广益地铁口精品公寓房 酒店式豪华装修 配套齐拎包住
62,东顾巷家园C区 ,滨湖区,蠡湖新城,2室2厅,整租,精装修,12,23层,2000,滨湖蠡湖东顾巷家园C3室2室精装修近欧尚湖滨商业街
63,中邦城市花园 ,新吴区,江溪,2室2厅,整租,精装修,5,24层,2200,中邦城市花园2室2厅邻精装温馨干净家具家电齐拎包入
